mass_B
t	x	y	v
0.0	-0.009145453264292475	0.24845148034661213	NaN
0.03333333333333333	-0.003872531528952311	0.24577427066941837	0.2748938126083319
0.06666666666666667	0.006509363804588442	0.23892371594010786	0.40481273162119463
0.1	0.019723940262214607	0.23267722868623875	0.4941233740946114
0.13333333333333333	0.03631401893595676	0.22489414738109836	0.6014921654037598
0.16666666666666666	0.05626442004568605	0.2161617375190965	0.6875574244250455
0.2	0.07797284560837009	0.20577380359705355	0.7762533138113251
0.23333333333333334	0.10325141532400406	0.19447516010212562	0.8737590107226303
0.26666666666666666	0.13198797971678372	0.1839678922221526	0.9579890301616698
0.3	0.16329224977805645	0.1727046319633947	1.0613231124999527
0.3333333333333333	0.19985637527631667	0.1639645649360445	1.0936801289305804
0.36666666666666664	0.23386397496879796	0.15437998732798464	1.1136310697209153
0.4	0.2722274682638102	0.14740225673650054	1.1946080235789134
0.43333333333333335	0.3122730664805756	0.1404290315079072	1.2467930493697994
0.4666666666666667	0.35402504564884296	0.1326369696537293	1.261826586839325
0.5	0.39507812412174603	0.1256035456752641	1.3004024061330386
0.5333333333333333	0.43856634089135904	0.11343980173898138	1.3772528896410863
0.5666666666666667	0.48383565591757516	0.10209958424414356	1.4198304105922865
0.6	0.5308753510312998	0.09249501820235484	1.5189956267966693
0.6333333333333333	0.584028059579692	0.08739037018264306	1.4773249027950195
0.6666666666666666	0.6293017246846808	0.08900224054716044	1.4023240855560677
0.7	0.6771955603504014	0.09512819099620395	1.4305804073309705
0.7333333333333333	0.7233832007175833	0.10463871813005576	1.2833277403380638
0.7666666666666666	0.759931570161526	0.1169098797626098	1.3159170481194555
0.8	0.8078902677106288	0.12819127815923648	1.3503570439346797
0.8333333333333334	0.8470565840453085	0.1395707943413802	1.1837262593768347
0.8666666666666667	0.8837294266717349	0.15000898757709702	1.1213938658138167
0.9	0.9193106705449264	0.15876306983713884	0.9938604461747035
0.9333333333333333	0.9480991933863169	0.16571157638282485	1.0095129493935324
0.9666666666666667	0.9855067157828393	0.17090760749116607	1.0401767782914493
1.0	1.01700825708186	0.17347600860291545	0.9535430780576025
1.0333333333333332	1.0489820798933445	0.1743665641066775	0.948644345041279
1.0666666666666667	1.0802511783969448	0.17354256430860537	0.9459629398265251
1.1	1.1119913742578724	0.171735663243472	0.9570382142882716
1.1333333333333333	1.1439035852365649	0.16916807162646597	0.9828613655479667
1.1666666666666667	1.1770547176844723	0.16397886955561647	1.019190681609557
1.2	1.210419884989312	0.15530275669229154	1.0675954662093676
1.2333333333333334	1.2458451497827028	0.1457175222629803	1.1190417517138613
1.2666666666666666	1.2817562265410598	0.13346925783982855	1.2006089802320365
1.3	1.3208758583475046	0.11784477195630116	1.2047260521084164
1.3333333333333333	1.3573958747456487	0.10646640408010022	NaN
